;Name;Acceleration;Aggression;Agility;Balance;Ball control;Composure;Crossing;Curve;Dribbling;Finishing;Free kick accuracy;GK diving;GK handling;GK kicking;GK positioning;GK reflexes;Heading accuracy;Interceptions;Jumping;Long passing;Long shots;Marking;Penalties;Positioning;Reactions;Short passing;Shot power;Sliding tackle;Sprint speed;Stamina;Standing tackle;Strength;Vision;Volleys;Role;Preferred
29;H. Lloris;65;31;55;54;34;61;13;11;10;10;10;88;86;68;82;90;10;27;74;50;14;12;40;10;85;50;23;18;63;41;10;43;30;11;OB;GK
30;Thiago Silva;70;77;74;68;80;83;60;61;68;38;67;9;12;5;9;10;82;89;93;81;71;90;71;59;84;79;74;88;74;74;89;81;74;63;OB;CB
31;Z. Ibrahimović;63;84;81;41;88;91;76;82;82;87;82;13;15;10;9;12;80;20;69;76;85;15;91;86;86;84;91;27;67;71;41;88;83;90;UT;ST
32;A. Robben;87;47;89;91;89;86;80;87;92;85;81;10;8;11;5;15;51;39;61;71;88;29;80;85;87;84;87;26;86;68;26;67;83;86;UT;RW
33;N. Kanté;82;90;83;90;79;84;67;49;77;65;49;15;12;10;7;10;54;91;79;79;66;75;54;71;87;84;72;85;80;94;89;77;76;56;OB;CM
34;M. Verratti;69;89;87;94;88;91;72;73;90;58;64;12;12;15;15;10;55;86;64;89;58;76;64;71;87;90;56;79;62;77;84;56;88;64;OB;CD
35;P. Pogba;72;75;76;61;89;85;78;84;86;71;82;5;6;2;4;3;73;68;85;88;82;66;76;83;84;86;90;66;76;91;68;91;86;85;OB;CD
36;C. Eriksen;77;44;78;82;87;87;86;85;84;76;87;9;14;7;7;6;52;55;57;86;84;38;67;81;83;89;80;22;74;90;56;57;90;74;ZA;LM
37;A. Vidal;76;93;75;77;83;86;76;76;76;77;68;4;2;4;2;4;81;85;82;82;85;76;81;80;89;84;86;85;74;91;89;77;80;78;OB;CM
38;E. Cavani;75;84;81;59;80;83;70;75;80;83;74;12;5;13;13;10;88;48;88;50;78;24;84;92;91;78;85;27;78;92;45;74;77;84;UT;ST
39;Marcelo;77;84;77;82;88;85;90;80;84;67;67;12;5;5;5;9;71;83;77;76;66;80;59;75;87;82;83;87;79;81;85;77;75;54;OB;LB
40;M. Hamšík;72;56;76;66;87;84;78;80;86;78;72;8;6;4;14;14;74;72;71;82;83;60;70;88;88;88;82;62;75;85;73;69;86;79;OB;CM
41;I. Rakitić;67;67;72;66;87;81;81;88;84;83;84;14;11;12;5;9;58;69;44;92;88;52;78;80;79;87;84;53;64;76;65;63;87;80;OB;CM
42;David Silva;72;51;92;89;90;92;83;82;84;71;75;1;1;1;1;1;54;43;66;79;73;25;73;81;84;91;71;29;65;78;44;56;92;79;ZA;LM
43;S. Handanovič;54;25;42;36;24;62;12;12;18;10;14;87;86;69;87;87;10;22;78;34;19;17;23;12;83;36;22;13;57;41;10;71;41;12;OB;GK
44;Piqué;55;72;58;42;78;86;57;58;59;64;43;10;11;14;15;8;83;88;74;80;51;86;69;58;84;81;62;86;73;66;87;83;62;57;OB;CB
45;Iniesta;72;58;79;84;94;89;77;80;90;70;70;6;13;6;13;7;54;66;52;86;71;57;71;84;88;92;65;56;71;58;57;58;94;74;ZA;LM
46;H. Kane;68;74;73;62;82;84;70;71;78;90;66;8;10;11;14;11;83;35;70;67;84;41;84;89;87;75;87;38;74;85;36;86;75;73;UT;ST
47;J. Rodríguez;77;65;82;75;85;87;88;87;83;82;86;15;15;15;5;14;62;55;54;80;91;25;81;80;84;84;86;30;75;68;42;70;86;91;ZA;RM
48;Isco;74;58;83;85;91;86;72;86;90;88;74;10;8;12;15;6;55;70;64;85;87;25;76;83;79;86;72;51;69;71;73;59;84;64;ZA;LM
49;D. Alaba;86;69;79;77;83;79;82;78;79;63;85;5;7;14;15;9;75;85;82;80;83;81;80;77;84;83;83;83;86;87;83;69;78;68;OB;CM
50;R. Lukaku;76;72;62;47;75;84;68;72;77;89;66;8;15;14;7;10;87;27;71;68;75;27;82;87;85;71;88;30;89;80;30;93;73;76;UT;ST
51;Alex Sandro;84;82;79;79;81;82;86;78;82;55;59;7;7;9;12;5;76;82;79;71;72;78;60;70;86;81;80;84;88;93;84;80;70;68;ZA;LM
52;T. Müller;76;57;76;72;82;83;77;81;75;87;59;6;7;11;14;14;82;58;81;68;77;31;60;93;92;81;77;44;78;90;41;67;81;83;UT;ST
53;Sergio Busquets;48;85;58;55;80;88;62;66;74;60;68;5;8;13;9;13;68;86;66;79;54;81;60;77;82;88;61;80;34;88;85;77;84;44;OB;CM
54;Coutinho;88;55;92;92;88;85;77;84;88;74;82;12;7;9;14;6;47;30;59;78;86;24;64;83;81;85;80;40;77;80;44;61;87;75;OB;CA
55;M. Reus;86;49;86;81;85;83;80;90;86;86;84;12;12;13;13;11;49;50;72;80;88;30;87;86;87;86;87;46;90;68;36;67;86;88;UT;LW
56;T. Alderweireld;62;81;60;50;70;81;64;63;62;45;69;16;6;14;16;14;82;84;81;81;66;89;60;56;86;77;86;85;69;76;90;82;67;38;OB;CB
57;David Luiz;68;86;72;56;79;78;68;70;66;55;76;11;12;10;7;14;83;87;80;78;71;80;75;54;79;79;77;84;71;76;85;81;69;64;OB;CB
58;Diego Costa;74;93;58;52;83;84;65;62;77;88;59;11;13;12;8;11;83;40;64;52;73;28;76;88;86;67;84;34;75;83;39;91;74;81;UT;ST
59;R. Nainggolan;80;88;81;84;85;85;73;73;80;76;68;11;11;14;8;11;59;86;76;81;86;78;63;88;87;84;84;88;76;94;86;76;76;75;OB;CA
60;Javi Martínez;49;91;54;58;71;83;60;54;62;53;45;5;12;9;11;8;90;86;83;74;63;84;52;57;84;75;76;87;50;64;87;84;74;61;OB;CD
61;D. Mertens;93;59;94;92;88;81;77;81;89;85;77;7;10;8;10;4;35;36;60;74;81;30;78;85;85;81;80;40;87;75;40;42;82;70;UT;ST
62;Sokratis;71;91;62;68;58;82;47;36;58;44;35;6;8;5;12;5;87;80;87;64;48;88;33;50;81;64;79;86;84;74;90;86;52;46;OB;CB
63;Miranda;67;83;61;57;72;84;48;32;65;43;39;12;6;10;13;12;83;88;82;69;41;89;49;43;82;70;70;86;74;65;90;80;58;51;OB;CB
64;K. Benzema;77;65;77;60;86;82;75;79;82;87;73;13;11;5;5;7;78;22;70;47;77;13;82;87;83;86;83;12;78;73;15;78;85;79;UT;ST
65;Cesc Fàbregas;65;45;65;77;86;92;85;77;80;76;81;6;10;8;15;15;74;50;68;90;75;60;80;78;81;91;77;62;62;80;63;64;91;81;OB;CA
66;F. Ribéry;85;52;88;91;90;86;81;83;90;76;81;15;6;9;7;10;41;36;34;75;75;13;78;81;86;86;76;26;79;64;25;60;86;80;UT;LW
67;Pepe;65;94;63;49;62;77;46;44;58;46;47;8;15;5;9;10;80;86;76;61;56;86;57;40;83;70;63;87;70;62;86;84;48;23;OB;CB
68;P. Čech;40;17;49;34;22;70;19;13;12;12;19;82;87;76;83;81;19;23;51;33;11;11;23;13;84;35;21;12;44;32;13;65;53;17;OB;GK
69;Y. Carrasco;87;61;91;71;86;75;80;81;91;79;78;9;11;9;10;10;53;18;68;74;75;19;74;82;83;79;84;26;89;73;39;59;74;68;ZA;RM
70;R. Varane;77;77;58;47;77;82;36;46;57;40;54;11;11;9;5;14;83;82;80;76;53;84;43;44;81;75;52;85;81;68;86;85;56;42;OB;CB
71;Casemiro;63;87;66;57;78;86;52;59;69;59;74;13;14;16;12;12;74;86;87;84;77;83;66;66;83;82;86;86;61;85;87;85;76;53;OB;CD
72;L. Insigne;94;34;96;93;90;78;83;83;88;73;77;8;4;14;9;10;56;26;53;73;80;16;61;83;80;83;70;22;86;75;24;44;87;74;UT;LW
73;A. Lacazette;84;70;87;84;84;86;64;74;85;87;71;11;6;9;5;6;72;40;76;59;76;23;84;87;85;79;81;30;87;80;42;79;74;82;UT;ST
74;K. Navas;54;32;60;61;19;49;11;11;16;15;15;87;82;72;80;85;11;20;74;37;13;12;25;16;82;30;21;14;53;39;14;75;54;11;OB;GK
75;H. Mkhitaryan;88;69;89;85;87;79;79;83;87;77;64;5;11;14;5;7;53;64;71;72;75;49;72;82;82;84;87;55;84;86;53;63;85;81;ZA;LM
76;D. Subašić;51;31;42;37;19;65;11;24;11;10;66;84;79;79;85;87;13;20;75;26;14;15;23;15;82;24;24;13;54;32;14;80;52;13;OB;GK
77;B. Leno;46;28;52;44;22;62;9;9;16;9;8;85;84;74;85;83;13;22;73;33;14;8;23;7;81;37;23;18;52;43;15;68;53;10;OB;GK
78;M. ter Stegen;38;43;37;43;18;62;15;18;17;14;12;84;83;87;81;86;11;22;79;38;10;10;25;11;82;30;22;10;50;35;13;79;57;14;OB;GK
79;K. Glik;53;86;34;55;59;79;29;35;51;27;26;10;14;5;8;10;85;87;82;59;20;85;39;24;79;63;57;83;58;72;87;90;23;17;OB;CB
80;Jordi Alba;93;75;90;86;83;75;82;77;80;73;64;13;15;13;6;13;63;83;81;70;66;81;59;77;82;79;64;83;93;90;84;60;68;60;OB;LB
81;I. Gündoğan;73;68;83;81;88;86;74;81;87;72;74;11;14;5;5;13;49;79;62;83;74;57;76;79;87;88;77;64;70;71;67;74;87;75;OB;CD
82;Azpilicueta;78;80;75;73;79;78;78;66;69;46;58;13;9;10;6;5;76;85;76;74;60;87;66;62;86;80;68;87;79;88;88;73;68;51;OB;LB
83;A. Di María;86;73;92;79;85;82;85;78;86;74;72;10;7;11;12;11;53;38;72;79;77;37;73;82;80;83;83;56;86;78;59;60;81;77;UT;LW
84;M. Pjanić;74;68;79;79;89;84;80;86;86;61;91;7;7;13;7;8;60;74;61;85;82;62;79;70;84;89;78;66;74;78;70;65;88;72;OB;CD
85;C. Marchisio;78;78;81;79;85;84;76;78;84;61;78;4;3;4;2;4;68;80;68;85;82;72;78;80;86;87;82;80;78;81;78;70;84;76;OB;CD
86;J. Vertonghen;68;83;62;55;74;81;68;58;69;56;73;6;10;9;12;7;81;86;83;74;68;84;68;60;82;79;86;86;66;79;86;81;68;52;OB;CB
87;B. Matuidi;79;85;76;79;77;82;75;65;73;65;52;8;11;5;10;14;73;85;84;79;66;83;56;68;84;84;74;81;78;94;84;78;75;72;OB;CM
88;S. Ruffier;45;31;51;55;15;57;11;17;12;11;12;82;84;77;85;87;12;25;72;34;11;11;25;12;78;33;21;11;50;37;12;76;49;13;OB;GK
89;Filipe Luís;75;81;74;60;81;88;84;74;77;59;75;11;15;9;9;5;68;82;63;77;60;85;65;71;83;78;71;86;82;91;83;74;70;56;OB;LB
90;V. Kompany;61;87;60;42;68;81;61;61;63;45;52;10;9;5;8;6;84;80;71;66;55;84;63;41;84;72;75;84;64;74;85;88;59;46;OB;CB
91;A. Barzagli;64;70;51;64;65;82;40;50;64;21;31;4;2;4;2;4;72;92;85;65;39;90;60;28;80;65;54;88;76;46;90;87;62;35;OB;CB
92;E. Bailly;75;87;63;63;68;74;51;46;63;33;43;14;14;10;9;8;81;85;84;56;48;82;46;47;78;72;55;85;80;78;85;85;54;42;OB;CB
93;Marco Asensio;79;45;78;76;86;82;79;83;83;82;76;13;9;6;12;10;50;45;57;81;87;29;62;72;78;86;84;39;77;73;42;61;83;75;UT;LW
94;Bernardo Silva;85;58;88;86;89;84;79;79;91;76;63;9;10;14;12;9;51;49;53;78;64;46;64;77;84;84;72;35;78;80;44;54;85;66;ZA;RM
95;A. Laporte;68;72;49;55;71;74;58;62;55;45;77;10;11;5;14;5;85;85;77;78;47;86;35;54;82;73;70;85;70;71;88;84;52;40;OB;CB
96;D. Alli;77;84;74;62;85;86;68;71;83;84;53;7;6;9;11;8;75;67;69;76;79;60;68;86;85;83;77;57;76;89;63;71;83;76;ZA;LM
97;S. Mané;94;73;89;85;84;78;72;74;86;83;64;10;10;15;7;14;53;31;75;71;69;33;71;84;80;77;77;38;92;82;35;72;78;68;UT;LW
98;Carvajal;76;81;82;79;83;74;83;72;76;41;47;13;13;15;9;15;65;82;76;71;36;85;45;61;81;81;64;86;86;84;85;75;57;34;OB;RB
99;J. Draxler;76;48;81;75;87;81;83;78;88;78;75;11;13;5;13;8;65;36;76;77;81;25;63;79;83;84;86;26;79;68;35;67;84;84;ZA;LM
100;M. Icardi;75;55;74;76;77;82;46;58;74;89;45;13;9;5;7;9;84;22;92;54;70;17;78;89;83;73;81;21;80;70;21;74;64;81;UT;ST
101;Morata;78;54;62;56;84;79;73;76;83;82;44;4;5;4;4;5;79;24;79;51;78;14;72;83;81;78;80;20;86;70;14;82;76;81;UT;ST
102;K. Koulibaly;69;87;50;40;59;78;30;28;54;19;28;7;11;7;13;5;79;86;77;48;15;85;33;24;80;59;55;85;76;73;87;93;34;14;OB;CB
103;T. Horn;45;41;50;31;22;20;19;12;20;13;15;83;81;83;82;86;14;22;64;32;17;11;21;15;81;35;22;12;51;31;13;67;55;14;OB;GK
104;Koke;72;71;77;78;86;75;84;85;80;71;76;14;12;5;10;13;61;64;61;85;81;63;59;80;84;86;84;51;69;81;66;75;89;56;ZA;LM
105;K. Manolas;78;86;68;60;65;75;27;30;54;10;10;8;6;8;15;12;80;85;86;61;12;88;26;25;81;60;43;87;81;78;86;84;22;16;OB;CB
106;S. Mustafi;64;79;66;69;70;74;50;55;53;58;47;11;9;15;10;6;81;85;84;69;52;82;54;50;82;77;66;85;69;74;83;81;55;51;OB;CB
107;Ander Herrera;76;86;84;82;86;84;74;80;81;71;65;9;12;15;9;8;60;86;63;80;72;80;79;78;85;86;72;76;70;87;78;70;84;69;OB;CD
108;K. Strootman;65;86;65;68;85;85;74;75;76;68;74;7;12;11;6;7;68;84;53;83;78;72;77;78;84;86;85;75;68;82;83;83;84;63;OB;CD
109;Pedro;84;56;84;82;87;78;78;81;84;81;57;5;11;12;15;9;55;49;67;70;78;30;66;84;84;83;71;31;80;78;32;56;77;70;UT;LW
110;R. Bürki;44;35;51;52;23;58;15;13;16;8;12;84;82;73;80;85;17;18;74;24;14;14;20;10;80;37;22;16;52;36;13;74;50;13;OB;GK
111;Bruno;42;79;53;59;83;86;60;72;75;66;77;13;10;9;11;8;61;85;66;86;81;70;75;69;84;87;84;85;41;76;84;77;83;48;OB;CD
112;I. Perišić;81;59;78;67;83;80;84;73;83;79;76;6;7;10;9;6;78;42;82;72;80;26;76;84;80;78;83;45;87;86;45;75;78;80;OB;CA
113;E. Džeko;67;51;57;36;80;79;63;65;76;87;54;9;11;13;15;15;84;50;66;72;73;11;67;89;83;77;86;16;61;70;28;82;70;77;UT;ST
114;Willian;91;44;89;81;86;79;77;82;87;77;85;14;12;13;7;13;29;55;46;77;81;43;70;80;83;82;71;51;86;87;58;62;83;59;OB;CA
115;S. Khedira;60;82;59;52;81;84;72;68;78;69;68;11;9;5;15;8;76;86;68;81;78;76;69;80;86;85;82;78;68;78;82;89;82;76;OB;CD
116;R. Fährmann;38;36;39;36;24;61;14;18;15;11;11;83;86;52;85;87;15;23;72;26;9;12;21;11;84;25;24;10;47;32;12;79;42;11;OB;GK
117;Sergio Asenjo;59;20;62;58;14;39;24;23;15;14;22;86;83;76;82;85;13;22;73;39;23;12;15;12;79;39;24;14;54;43;15;73;46;22;OB;GK
118;Juan Mata;71;52;85;89;87;85;84;84;82;79;84;9;10;14;5;8;59;39;72;77;70;25;81;83;84;86;75;21;63;75;28;43;87;71;ZA;RM
119;M. Benatia;72;82;59;51;65;78;45;34;64;45;27;7;4;8;7;11;80;84;82;65;24;86;41;38;78;65;59;84;76;68;86;89;47;31;OB;CB
120;D. Payet;79;57;79;81;90;86;86;90;89;76;91;11;15;9;14;12;59;37;48;84;83;29;76;79;76;86;78;39;72;73;36;76;87;79;OB;CA
121;Falcao;73;75;85;75;82;87;55;83;74;87;71;10;13;6;9;5;90;41;92;58;80;16;84;85;82;78;79;19;66;68;42;75;68;84;UT;ST
122;L. Koscielny;74;88;68;62;67;75;52;22;62;32;49;13;11;9;11;7;81;86;82;69;47;83;51;39;82;76;54;84;76;75;87;76;56;35;OB;CB
123;G. Cahill;62;84;62;51;63;75;28;48;58;56;27;5;12;9;5;12;86;83;82;61;66;84;53;45;85;65;63;84;63;69;85;80;56;47;OB;CB
124;Dani Alves;79;78;85;87;86;82;86;80;84;55;74;5;11;9;6;7;72;81;80;77;78;73;70;74;79;83;86;83;84;76;79;55;78;68;OB;RB
125;A. Gómez;94;56;92;94;87;84;82;78;89;78;71;8;11;12;9;6;36;40;70;72;78;24;71;81;83;82;76;34;86;78;30;48;85;72;UT;ST
126;Aduriz;69;82;53;57;80;87;54;61;79;85;54;14;10;9;15;9;94;23;94;52;80;46;75;86;85;71;83;49;70;64;44;83;73;84;UT;ST
127;K. Mbappé;89;62;78;76;87;80;70;75;86;87;58;13;5;7;11;6;76;49;71;68;68;41;70;79;79;78;79;40;90;83;44;74;77;74;UT;ST
128;O. Dembélé;93;54;90;85;85;73;77;78;92;77;65;6;6;14;10;13;43;36;59;68;65;29;75;78;82;74;82;33;89;74;30;47;84;76;OB;CA
129;N. Keïta;82;77;90;90;88;79;62;63;90;74;47;7;14;15;14;9;42;79;56;78;66;55;58;74;84;88;76;61;66;88;63;59;81;59;OB;CA
130;J. Giménez;68;89;57;50;56;73;47;36;47;37;44;9;11;7;10;15;79;85;90;58;48;85;38;24;76;68;72;87;72;68;86;84;27;30;OB;CB
131;G. Rulli;54;26;58;50;15;30;12;19;15;15;20;85;79;75;82;86;12;21;68;23;17;16;24;12;77;32;24;17;48;42;13;73;58;16;OB;GK
132;T. Lemar;86;63;85;84;86;79;82;81;88;78;81;11;15;13;7;14;54;66;72;71;76;63;68;76;76;82;82;63;84;79;59;69;82;75;ZA;LM
133;João Mário;71;61;81;70;85;85;77;74;84;66;67;6;15;8;8;8;55;78;63;78;73;67;66;80;82;83;77;61;75;84;75;69;82;69;OB;CA
134;N. Süle;51;81;33;32;63;72;30;28;42;20;30;15;7;14;7;15;85;82;38;61;62;81;32;26;80;76;77;82;76;65;86;94;30;29;OB;CB
135;Ederson;64;35;60;40;30;58;20;12;21;14;20;81;76;82;78;87;14;25;58;30;18;9;17;16;86;15;42;8;63;38;15;68;60;18;OB;GK
136;Fabinho;73;83;71;69;80;80;79;71;75;66;45;13;12;6;8;8;75;83;77;74;53;79;91;68;79;82;75;85;75;89;88;80;72;30;OB;CD
137;M. Salah;93;63;86;84;87;75;73;70;87;79;60;14;14;9;11;14;59;55;70;65;62;37;61;83;82;79;71;41;93;77;43;61;78;71;UT;RW
138;A. Belotti;80;83;79;75;78;78;42;64;78;88;56;13;7;12;14;7;84;31;83;42;67;15;77;85;78;68;81;32;83;84;23;85;61;80;UT;ST
139;E. Forsberg;78;62;85;83;85;79;86;81;82;72;77;13;7;9;15;11;45;43;53;70;80;23;64;77;80;86;75;17;72;76;26;63;86;67;ZA;LM
140;Marquinhos;69;80;66;68;76;79;72;49;65;33;32;6;6;12;10;13;80;84;85;78;35;85;31;46;81;80;53;86;72;75;85;74;51;31;OB;CB
141;William Carvalho;52;75;45;50;78;89;66;77;79;56;50;6;6;5;14;14;73;84;68;86;58;77;60;62;74;84;59;71;53;84;85;88;78;50;OB;CM
142;S. Umtiti;72;80;68;66;75;74;69;72;69;51;63;15;10;14;12;15;72;86;87;73;74;80;61;58;77;79;83;83;75;79;85;78;58;70;OB;CB
143;R. Mahrez;85;40;92;85;88;82;81;79;88;74;75;15;9;13;11;6;45;38;62;74;72;25;72;79;75;78;76;19;80;75;23;51;79;71;ZA;RM
144;V. van Dijk;69;78;57;51;73;82;53;60;70;52;70;13;10;13;11;11;80;83;79;76;64;83;62;41;79;76;81;83;76;76;85;92;59;45;OB;CB
145;Roberto Firmino;77;66;82;81;85;78;72;80;87;83;67;8;11;9;6;10;72;37;81;75;80;30;72;84;82;83;79;42;77;86;59;76;83;79;OB;CA
146;Danilo Pereira;67;88;58;60;77;84;50;48;76;56;53;9;7;13;14;15;76;85;67;79;64;80;52;69;76;82;77;78;68;87;85;89;69;55;OB;CM
147;Vitolo;81;61;75;63;85;70;80;76;86;79;62;11;16;8;14;16;65;25;70;82;73;25;74;80;80;81;77;23;79;81;21;81;78;75;ZA;RM
148;A. Lopes;60;35;65;62;21;55;19;15;15;18;14;86;81;71;79;85;16;25;85;31;18;13;16;9;85;32;20;13;64;33;15;65;38;13;OB;GK
149;S. de Vrij;68;74;61;60;71;82;49;45;61;25;16;8;10;7;14;13;78;85;71;71;60;87;41;32;78;71;65;82;68;69;86;80;50;27;OB;CB
150;M. Perin;57;25;70;30;23;58;11;15;19;11;13;80;85;71;78;90;12;19;75;31;17;14;21;12;79;33;23;19;56;30;12;52;44;19;OB;GK
151;J. Matip;60;81;58;49;71;75;54;63;65;36;22;11;15;10;7;10;85;85;67;74;48;83;42;51;81;77;66;79;73;73;85;81;72;50;OB;CB
152;I. Gueye;78;84;75;82;79;80;60;33;75;50;43;8;6;8;12;13;69;87;85;74;67;80;54;67;79;82;80;85;75;88;87;76;72;32;OB;CM
153;Iago Aspas;84;63;88;77;84;73;67;83;85;86;76;12;16;9;12;13;78;36;68;64;80;20;80;85;86;80;79;18;79;70;21;59;68;86;UT;RW
154;N. Otamendi;62;90;69;62;64;84;52;50;41;53;39;12;5;8;11;12;83;85;86;66;56;81;44;49;78;71;69;84;64;76;83;80;45;56;OB;CB
155;N. Matić;62;83;56;53;78;84;68;68;72;64;67;7;15;12;14;9;77;85;71;78;75;75;69;68;82;83;78;75;66;89;83;89;75;74;OB;CM
156;J. Pastore;69;65;79;58;87;79;77;83;88;73;69;14;9;6;10;12;63;69;49;83;76;49;75;78;83;87;78;51;72;67;59;64;86;78;UT;RW
157;Parejo;55;58;69;72;83;74;84;87;78;75;90;5;9;12;14;8;63;68;55;87;80;59;83;79;79;90;80;51;50;76;61;72;85;72;OB;CD
158;S. Kagawa;76;30;92;88;85;81;60;74;87;76;63;11;9;8;9;13;42;56;66;73;55;30;78;80;81;84;56;27;65;80;24;39;82;75;UT;CF
159;G. Bonaventura;78;68;81;77;85;82;82;78;83;70;78;10;14;7;15;14;60;72;69;80;86;60;68;78;82;84;84;68;78;87;72;69;82;78;UT;LW
160;B. Dost;54;72;38;35;73;78;38;62;64;87;32;6;12;15;11;8;93;39;55;37;74;29;81;88;85;74;83;26;64;84;48;89;68;85;UT;ST
161;K. Walker;86;78;70;72;76;75;78;76;77;51;71;12;6;16;15;8;73;78;83;67;68;79;63;66;81;75;86;83;93;90;84;77;69;57;UT;RW
162;Oscar;75;31;86;80;84;83;70;77;81;75;77;12;10;15;12;12;54;34;66;78;77;37;68;81;81;83;76;47;74;76;50;36;83;63;OB;CA
